#call,Hz,unix,mode,grid,lat,lng,park,org
KE2BDV,21306000,1769893899,SSB,FN02WU,42.8597,-78.1396,US-8622,POTA
KE2CVB,28351000,1769892401,SSB,FN30BP,40.6429,-73.875,US-8068,POTA
KE2NJ,7258000,1769893473,SSB,FN30AW,40.953,-73.9207,US-8319,POTA
KE4EST,28435000,1769894089,SSB,EM75WC,35.0995,-84.0928,US-4509,POTA
KE4JDH,14244000,1769893916,SSB,EM73DR,33.7119,-85.7381,US-0158,POTA
KF0LRL,14336000,1769893864,SSB,EN22XJ,42.3895,-94.0805,US-2285,POTA
KF0U,14082000,1769894022,FT4,EM38EL,38.4685,-93.6234,US-1766,POTA
KF0UEE,14074000,1769892964,FT8,DM33WX,33.99,-112.148,US-11975,POTA
KF7NP,28370000,1769893088,SSB,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
KG4EXY,14064000,1769892949,CW,FM18FT,38.8028,-77.5493,US-0712,POTA
KG5FLJ,14080000,1769893646,FT4,EM31IR,31.7084,-93.2927,US-4568,POTA
KG5UZW,14228000,1769894103,SSB,DN16LI,46.3693,-117.054,US-2236,POTA
KG6NLW/M0,14340000,1769893503,SSB,CM88QK,38.4246,-122.616,US-1124,POTA
KG7EJT,144200000,1769893928,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,14339000,1769891915,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,14331000,1769891612,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,7190000,1769891001,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,18155000,1769890859,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7PRD,14325000,1769894084,SSB,DN30PO,40.6139,-112.708,US-5998,POTA
KI5DXY,14075000,1769893183,FT8,EM02XU,32.851,-98.0267,US-3029,POTA
KJ5CTS,14319000,1769893881,SSB,EM29JU,39.864,-95.2295,US-9189,POTA
KJ5XC,14273000,1769893553,SSB,EM58QM,38.5379,-88.5864,US-7371,POTA
KJ7XJ,14063000,1769893700,CW,CN87PC,47.101,-122.728,US-12481,POTA
KK7CSK,21354000,1769893315,SSB,CN87OF,47.2262,-122.806,US-3206,POTA
KL5NE,21318000,1769893818,SSB,BP51FM,61.5117,-149.559,US-9701,POTA
KL7AC,28053000,1769894099,CW,BP64QH,64.3148,-146.646,US-7227,POTA
KL7DUG,28412000,1769893903,SSB,BP51BJ,61.3848,-149.899,US-9698,POTA
KO4FX,14323000,1769894040,SSB,EM76CB,36.0807,-85.8165,US-2944,POTA
KO6BJL,14535000,1769894080,SSB,CM88QK,38.4246,-122.616,US-1124,POTA
LU8DCH,28074000,1769893980,FT8,GF05SM,-34.4699,-58.4959,AR-0031,POTA
N0HR,14277000,1769892737,SSB,EL98HW,28.9489,-81.3403,US-1842,POTA
N0LNT,28412000,1769893926,SSB,DM79LM,39.5306,-105.068,US-1212,POTA
N0OII,14080000,1769893888,FT4,EN12CU,42.8735,-97.8268,US-10349,POTA
N0SNO,29390000,1769893264,SSB,DM33WX,33.99,-112.148,US-11975,POTA
N0TIE,14272000,1769894081,SSB,DM08OQ,38.6914,-118.772,US-4442,POTA
N1DJL,14339000,1769893987,SSB,FN34RN,44.5435,-72.5294,US-3112,POTA
N2NWK,14288000,1769894102,SSB,FM19RG,39.2633,-76.5799,US-0928,POTA
N2QLV,21365000,1769892344,CW,FN22IE,42.2034,-75.3237,US-5312,POTA
N3JSK,7259000,1769894064,SSB,EL97VC,27.1031,-80.2413,US-6284,POTA
N4FFF,14037000,1769893717,CW,EM64MN,34.5572,-86.9531,US-0161,POTA
N4JZH,7235000,1769893850,SSB,FM03EA,33.0375,-79.6176,US-4522,POTA
N4LDB,21063000,1769894047,CW,EN13RN,43.5582,-96.5416,US-8156,POTA
N5TIT,21142000,1769892869,FT4,DM79BJ,39.3784,-105.848,US-12170,POTA
N6DVM,28393000,1769894049,CW,CM98EN,38.5632,-121.636,US-11581,POTA
N6EKO,14342000,1769892086,SSB,CM88wj,38.40050,-122.10610,W6/NC-151,SOTA
N6IV,14310000,1769893938,SSB,CM98QK,38.4242,-120.643,US-3446,POTA
N6JFD/P,14065000,1769894003,CW,DM13po,33.62130,-116.68260,W6/CT-016,SOTA
N6JFD/P,14056000,1769893830,CW,DM13po,33.62130,-116.68260,W6/CT-016,SOTA
N6JFD/P,14057000,1769893625,CW,DM13po,33.62130,-116.68260,W6/CT-016,SOTA
N6JFD/P,7058000,1769893321,CW,DM13po,33.62130,-116.68260,W6/CT-016,SOTA
N6LY,14343000,1769894056,SSB,CM88SD,38.1407,-122.465,US-0212,POTA
N7DPC,21358000,1769893692,SSB,DM48MS,38.7916,-110.947,US-5900,POTA
N7UN,14055000,1769894000,SSB,CN95RW,45.9168,-120.575,US-12498,POTA
NA7DO,14041000,1769894090,CW,CN87UR,47.7329,-122.257,US-3261,POTA
NA7DO,21041000,1769890800,CW,CN87ur,47.73292923,-122.25714874,KFF-3261,WWFF
ND1Q,14045000,1769893538,CW,FN42MJ,42.4062,-70.9912,US-8426,POTA
NI8M,10116000,1769894098,CW,EN91EM,41.5409,-81.6293,US-1942,POTA
NK4DX,18068000,1769892927,CW,EL96RX,26.9939,-80.573,US-10462,POTA
NP4IA,14308000,1769893075,SSB,FK67LX,17.9782,-67.0165,PR-0076,POTA
PY2MP,14006000,1769894012,CW,GG69EC,-20.9112,-47.6254,BR-0837,POTA
VA3GHB,14346000,1769894060,SSB,FN03GW,43.9349,-79.4529,CA-5553,POTA
VE3TXI,21075000,1769893966,FT8,FN03JE,43.1848,-79.1988,CA-6341,POTA
VE5URQ,14080000,1769893966,FT4,DO73AQ,53.6922,-105.98,CA-0603,POTA
VK1AD,144200000,1769893208,SSB,QF44mq,-35.31667,149.01138,VK1/AC-043,SOTA
VK1CHW,144250000,1769893517,SSB,QF44nr,-35.27417,149.09750,VK1/AC-042,SOTA
VK1RT,144200000,1769893764,SSB,QF44si,-35.66140,149.51230,VK2/ST-001,SOTA
VK1RX,144200000,1769892283,SSB,QF44mp,-35.37167,149.07500,VK1/AC-037,SOTA
